created_at,entry_id,field1
2022-12-06 18:39:37,222,9
2022-12-06 18:40:08,223,6
2022-12-06 18:40:23,224,5
2022-12-06 18:40:39,225,8
2022-12-06 18:40:54,226,10
2022-12-06 18:41:09,227,8
2022-12-06 18:41:24,228,49
2022-12-06 18:41:40,229,3
2022-12-06 18:42:14,230,3
2022-12-06 18:42:30,231,3
2022-12-06 18:42:45,232,8
2022-12-06 18:43:01,233,9
2022-12-06 18:43:16,234,8
2022-12-06 18:43:32,235,8
2022-12-06 18:43:48,236,5
2022-12-06 18:44:04,237,8
2022-12-06 18:44:19,238,8
2022-12-06 18:44:34,239,8
2022-12-06 18:44:49,240,8
2022-12-06 18:45:05,241,8
2022-12-06 18:45:21,242,84
2022-12-06 18:45:36,243,4
2022-12-06 18:45:52,244,3
2022-12-06 18:46:07,245,9
2022-12-06 18:46:22,246,8
2022-12-06 18:46:38,247,3
2022-12-06 18:46:53,248,3
2022-12-06 18:47:08,249,4
2022-12-06 18:47:24,250,4
2022-12-06 18:47:39,251,3
2022-12-06 18:47:55,252,2
2022-12-06 18:48:10,253,2
2022-12-06 18:48:26,254,6
2022-12-06 18:48:42,255,5
2022-12-06 18:48:57,256,7
2022-12-06 18:49:12,257,7
2022-12-06 18:49:28,258,3
2022-12-06 18:49:44,259,3
2022-12-06 18:49:59,260,3
2022-12-06 18:50:28,261,20
2022-12-06 18:50:44,262,8
2022-12-06 18:51:00,263,3
2022-12-06 18:51:15,264,14
2022-12-06 18:51:31,265,13
2022-12-06 18:51:47,266,13
2022-12-06 18:52:46,267,21
2022-12-06 18:53:01,268,11
2022-12-06 18:53:16,269,17
2022-12-06 18:53:32,270,14
2022-12-06 18:53:47,271,10
2022-12-07 11:50:35,272,16
2022-12-07 11:50:51,273,2
2022-12-07 11:51:06,274,2
2022-12-07 11:51:22,275,2
2022-12-07 11:51:39,276,19
2022-12-07 11:51:55,277,5
2022-12-07 11:52:10,278,5
2022-12-07 11:52:25,279,5
2022-12-07 11:52:40,280,5
2022-12-07 11:52:57,281,5
2022-12-07 11:53:12,282,6
2022-12-07 11:53:28,283,6
2022-12-07 11:54:02,284,3
2022-12-07 11:54:17,285,17
2022-12-07 11:54:33,286,3
2022-12-07 11:54:49,287,8
2022-12-07 11:55:04,288,19
2022-12-07 11:55:20,289,3
2022-12-07 11:55:35,290,3
2022-12-07 11:55:51,291,3
2022-12-07 11:56:07,292,17
2022-12-07 11:56:22,293,3
2022-12-07 11:56:37,294,3
2022-12-07 12:00:51,295,3
2022-12-07 12:01:07,296,0
2022-12-07 12:01:23,297,3
2022-12-07 12:01:40,298,14
2022-12-07 12:01:55,299,15
2022-12-07 12:02:11,300,12
2022-12-07 12:02:27,301,10
2022-12-07 12:02:43,302,10
2022-12-07 12:06:07,303,16
2022-12-07 12:06:22,304,15
2022-12-08 05:30:03,305,11
2022-12-08 05:30:19,306,12
2022-12-08 05:30:35,307,10
2022-12-08 05:30:51,308,10
2022-12-08 05:31:07,309,10
2022-12-08 05:31:22,310,12
2022-12-08 05:31:37,311,15
2022-12-08 05:31:52,312,18
2022-12-08 05:32:08,313,11
2022-12-08 05:36:39,314,4
2022-12-08 05:36:54,315,4
2022-12-08 05:37:10,316,4
2022-12-08 05:37:25,317,4
2022-12-08 05:38:45,318,16
2022-12-08 05:39:01,319,14
2022-12-08 05:39:16,320,7
2022-12-08 05:39:31,321,15